borehole_id,ground_elev,x,y,top_depth,bottom_depth,n_value,unit,water_elev,rqd
B-1,888.9,100,200,0,1.2,5,Asphalt,,
B-1,888.9,100,200,1.2,5.0,8,Fill,,
B-1,888.9,100,200,5.0,13.0,25,SP-SC,883.2,
B-1,888.9,100,200,13.0,25.0,38,SP,,
B-1,888.9,100,200,25.0,43.0,47,GC,,
B-1,888.9,100,200,43.0,58.0,65,GP-GC,,
B-1,888.9,100,200,58.0,95.0,95,Limestone,,
B-2,889.1,220,200,0,0.8,10,Asphalt,,
B-2,889.1,220,200,0.8,10.0,7,Fill,,
B-2,889.1,220,200,10.0,28.0,50,SP-SC,884.8,
B-2,889.1,220,200,28.0,38.0,41,GC,,
B-2,889.1,220,200,38.0,65.0,24,Limestone,,
B-3,887.8,340,200,0,1.0,7,Fill,,
B-3,887.8,340,200,1.0,8.0,9,SP,,
B-3,887.8,340,200,8.0,12.0,5,SC,,
B-3,887.8,340,200,12.0,32.0,13,GC,,
B-3,887.8,340,200,32.0,40.0,13,Fill,,
B-3,887.8,340,200,40.0,70.0,20,RC,,
B-4,889.4,460,200,0,22.0,40,Void,,
B-4,889.4,460,200,22.0,28.5,40,GP-GC,866.8,
B-4,889.4,460,200,28.5,65.5,40,Limestone,,
